title,Journal,category
Terrifying video shows woman fight off attacker inside empty gym,CNN,gym
"Watch moment woman fights off man who attacked her in gym in Tampa, Florida",Sky News,gym
Woman finds camera in ceiling of Michigan gym bathroom,MLive.com,gym
"HitZone Gym owner Gregory Baiunco charged with breaking into clients' cars, stealing from them as they worked out",WABC-TV,gym
"Gym owner, NJ official stole from clients while they worked out, cops say",New Jersey 101.5 FM,gym
NJ gym owner arrested after rash of car thefts outside gym,1010 WINS,gym
Former Baltimore police officer opens Black-owned LL13 Fitness H.E.A.R.T. gym,Baltimore Business Journal,gym
The TikTok trends calling out gym harassment against women,BBC,gym
Woman finds camera hidden in bathroom ceiling at Van Buren Township gym,WDIV ClickOnDetroit,gym
Just Samantha Ruth Prabhu Killing It In The Gym. The Internet Is Impressed,NDTV.com,gym
"Blind Man Explains to Woman at Gym He Wasn't Staring at Her, She Calls Manager Anyway",Distractify,gym
Tampa gym attack: Terrifying video shows woman fight off attacker inside empty Florida apartment complex gym,WLS-TV,gym
Video shows Tampa woman fighting off attacker at apartment ...,USA TODAY,gym
Woman fiercely fights off apartment complex gym attacker: video,Fox News,gym
WATCH: Woman fights off attacker in apartment complex gym,KSLA,gym
This Home Gym Equipment Watches You Work Out. That's (Mostly) a ...,The Wall Street Journal,gym
Beads of sweat: Examining gym culture on campus,The Arizona ...,gym
NBA unveils newly renovated gym and STEM lab at Salt Lake ...,KSL.com,gym
Man breaks his nose after flexing too hard at the gym and passing out,Dexerto,gym
Foodie News: Gym Tacos opening at Morgan Street Food Hall,WRAL News,gym
Fitness influencer Joey Swoll accused of 'fueling misogyny' with crusade against 'gym creep' videos,New York Post,gym
Philly mayor’s race: More labor unions are throwing their support behind Helen Gym and Jeff Brown,The Philadelphia Inquirer,gym
Skip Hop Recalls Silver Lining Cloud Activity Gyms Due to Choking ...,Consumer Product Safety Commission,gym
Local gym breaks barriers to build stronger community,NEWS10 ABC,gym
"West Michigan man finds hope, purpose inside a Kalamazoo gym",WWMT-TV,gym
The Climbing Gym Has Lost Its Soul,Outside Online,gym
Board OKs plans for game in old gym,Journal Review,gym
USU GYM MEET NOTES,Aggies Close Homestand Against No. 21 ...,gym
Alexa PenaVega compares sex with husband Carlos to 'going to the gym',Page Six,gym
Surveillance video shows man attacking woman in Tampa apartment gym,FOX 13 Tampa,gym
"What You Should Be Carrying In Your Gym Bag, According to Experts",Gear Patrol,gym
"Gyms like Anytime Fitness, Snap Fitness and Life Time attract more ...",Star Tribune,gym
How does Justin Rose treat his body like a temple? He bought his ...,Golfweek,gym
The LLC Manager of Loprinzi's Gym Blames Late Taxes on the Tax ...,Willamette Week,gym
"Meet the couple behind Huntsville's sensory gym, We Rock the ...",AL.com,gym
The Monty Python ‘silly walk’ could replace your gym workout,Popular Science,gym
Camp Jordan To Get New Boardwalk; Gym To Be Expanded At East ...,The Chattanoogan,gym
"‘I’ve Been a Trainer for 26 Years, and These Are the 6 Things I Wish People Would Stop Doing at the Gym’",Well+Good,gym
Home Gym Maker Tonal Looks for Buyer After Burning Through Cash,The Information,gym
Metro Atlanta gym home to more than 300 kids being forced to close,11Alive.com WXIA,gym
New CrossFit owners bring medical backgrounds to gym,The Ellsworth American,gym
Armed standoff with police at gym ends with no injuries,The Commercial Dispatch,gym
Young woman fights off male attacker while alone at apartment gym ...,msnNOW,gym
BCYF Curtis Hall Community Center Gym to Be Refurbished,Boston.gov,gym
"Former Park Slope Gym Will Shape Into Condos, Retail In $6.45M Deal",Patch,gym
When Private Equity Came for the Toddler Gyms,The New York Times,gym
"TikTok's ""Shy Girl"" Workout Trend Will Help Your Gym Anxiety",Bustle,gym
New 24-hour rock climbing gym opens in Bend with adjustable walls ...,KTVZ,gym
Bowflex Presidents' Day Sale 2023: Take up to $600 Off Top-Rated ...,Men's Health,gym
Ubben Basketball Complex Men's Gym Floor Named for Fighting ...,Fighting Illini,gym
How to Find the Best Gym Environment | U.S. News,U.S. News & World Report,gym
Midtown gym set to reopen after flooding damage,KOLO,gym
'Watch this creep': the women exposing gym harassment on TikTok,The Guardian,gym
East Laurens High School gym isn't scoring points with parents and community members,wgxa.tv,gym
basketball mecca WSSU at crossroads with tiny gym,HBCU Gameday,gym
Woman saved by gym members after suffering cardiac arrest during workout,KKTV,gym
"The Hall Hosts DePaul, Monday in Walsh Gym",SHU Pirates,gym
Second-Straight Top-10 Road Matchup For No. 20 Gym Devils On ...,Sun Devil Athletics,gym
This new Staten Island gym offers workouts designed to help with high stress situations,SILive.com,gym
"Florida high school gym teacher, football coach accused of having sexual relationship with student: Police",FOX 35 Orlando,gym
"Texans and Lancers play one for the ages at Wisdom Gym, CBU ...",Tarleton State University Athletics,gym
Gym Tan On Becoming A TikTok Style Influencer At Age 62,Women's Health,gym
World Gym Houston to open in former YMCA at 610 Loop,The Business Journals,gym
Philadelphia teachers union backs Helen Gym for mayor,Chalkbeat Philadelphia,gym
Check Out Fittest Man on Earth® Justin Medeiros' Latest Gym Tour ...,BarBend,gym
"I’m a gym girl – I wear a Skims crop top to work out, it passes the jump test...",The US Sun,gym
Titusville gym helping people fight against Parkinson's Disease,WKMG News 6 & ClickOrlando,gym
Woman-Owned Gym in Waukegan Reshaping Fitness Ideals: 'I Want ...,WTTW News,gym
WFP Endorses Helen Gym for Philadelphia Mayor,Working Families Party,gym
Mental Health Pop-Up Gym returns to Bloomfield- Gilead,Macon-Bibb County,gym
"I’m a gym girl in the ‘no bra’ club – people tell me to cover up my nipples but I refuse, it’s no secret I...",The US Sun,gym
Seabrook police chief accused of assaulting teen over lost gym bag,Chron,gym
Climbers brave the dark at Boulders Climbing Gym,Channel3000.com,gym
"Official retires after 51 years with final game at Hoosier Gym, nephew",IndyStar,gym
"I’m a gym girl – I get trolled for wearing makeup to work out but I don’t care, I’m cute with or without it...",The US Sun,gym
Influencer Jessica Fernandez admits to mistake after calling out 'feral' man at the gym,New York Post,gym
